time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
7.98,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,93.0,-45.0,92.0,13.848151501193218,18.872850578973868,0.039392484695069375,-0.011586024910314522,0.8011736225482491,0.00020183327087014283,0.0013455551391342857,0.0017492216808745714,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.99,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,93.0,-45.0,92.0,13.848151501193218,18.872850578973868,0.039392484695069375,-0.011586024910314522,0.8011736225482491,0.00020183327087014283,0.0013455551391342857,0.0017492216808745714,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,0.02691393853443471,0.17942625689623143,0.23325413396510086,0.01064736842105263,-0.00313157894736842,0.21654868421052625,0.0,0.0,0.0
8.0,-3.11,1.98,7.0,2.291831180523293,8.594366926962348,13.750987083139757,93.0,-45.0,92.0,7.91154220111351,16.376974042721063,-0.1801626873553908,0.11470164661211375,0.4055108718610082,0.00026911102782685713,0.001009166354350714,0.0016146661669611427,-0.5833333333333333,0.5266666666666667,11.553333333333333,1.909859317102744,10.504226244065093,14.514930809980855,0.05382787706886942,0.35885251379246286,0.4665082679302017,0.02129473684210526,-0.00626315789473684,0.4330973684210525,0.00016671537396121874,-4.903393351800551e-05,0.003390696502770081
8.02,2.2,0.17,8.19,4.010704565915763,5.729577951308232,10.886198107485642,93.0,-45.0,92.0,8.482039848998589,12.93920877992928,0.12744627401345973,0.009848121173767344,0.4744477200773796,0.00047094429869699996,0.0006727775695671429,0.0012782773821775712,0.1125000000000001,0.4375,10.712499999999999,2.435070629305999,9.310564170875876,13.607747634357052,0.08971312844811571,0.4934222064646364,0.6818197762056795,-0.027401315789473673,0.02473947368421052,0.5427026315789472,0.0005001461218836562,-0.00014710180055401654,0.010172089508310243
8.03,2.2,0.17,8.19,4.010704565915763,5.729577951308232,10.886198107485642,93.0,-45.0,92.0,8.482039848998589,12.93920877992928,0.12744627401345973,0.009848121173767344,0.4744477200773796,0.00047094429869699996,0.0006727775695671429,0.0012782773821775712,0.53,0.384,10.207999999999998,2.7501974166279517,8.594366926962348,13.063437728982771,0.1525123183617967,0.5831353349127522,0.8522747202570993,0.007046052631578949,0.027401315789473676,0.670940789473684,7.109920360110806e-05,0.000240266274238227,0.018669670186980597
8.04,3.58,1.29,6.8,2.291831180523293,4.010704565915763,10.313240312354818,93.0,-45.0,92.0,7.792335978382862,11.300494104925539,0.20738984589462992,0.07472986067152866,0.3939248469506937,0.00026911102782685713,0.00047094429869699996,0.001210999625220857,1.0383333333333333,0.535,9.639999999999999,2.673803043943842,7.83042320012125,12.605071492878112,0.2153115082754777,0.6728484633608679,1.022729664308519,0.04149342105263157,0.030063157894736833,0.7991789473684208,0.00018142555401662054,0.0006693131925207752,0.029175190443213275
8.05,-0.68,-0.26,6.38,8.021409131831525,0.0,7.448451336700702,93.0,-45.0,92.0,6.4214017161364385,10.946343306119568,-0.039392484695069375,-0.015061832383408878,0.3695941946390332,0.0009418885973939999,0.0,0.0008746108404372857,0.7928571428571429,0.42142857142857143,9.174285714285713,3.4377467707849396,6.711791314389643,11.868411470567054,0.251196759654724,0.7356476532745488,1.1842132955151274,0.09754868421052629,0.050261842105263146,0.905652631578947,0.0008311251731301936,0.001140038954293628,0.04168865027700828
8.06,-0.68,-0.26,6.38,8.021409131831525,0.0,7.448451336700702,93.0,-45.0,92.0,6.4214017161364385,10.946343306119568,-0.039392484695069375,-0.015061832383408878,0.3695941946390332,0.0009418885973939999,0.0,0.0008746108404372857,0.6087500000000001,0.33625000000000005,8.824999999999998,4.010704565915763,5.872817400090938,11.31591645383376,0.376795139482086,0.7356476532745488,1.3008403624976779,0.08690131578947366,0.0461907894736842,1.0055499999999997,0.002358532202216065,0.0019270335872576165,0.05586926385041547
8.08,-6.08,-3.37,12.37,5.156620156177409,-10.886198107485642,5.729577951308232,93.0,-41.0,92.0,14.189439735239725,13.338969381876417,-0.35221515727356145,-0.19522451973879967,0.716595640702953,0.0006054998126104285,-0.0012782773821775712,0.0006727775695671429,-0.13444444444444434,-0.07555555555555553,9.218888888888888,4.1380285203892795,4.010704565915763,10.695212175775367,0.502393519309448,0.7356476532745488,1.4174674294802283,0.07625394736842103,0.04211973684210525,1.1054473684210524,0.003719223857340718,0.002650284106648198,0.07161405990304703
8.09,-6.08,-3.37,12.37,5.156620156177409,-10.886198107485642,5.729577951308232,93.0,-41.0,92.0,14.189439735239725,13.338969381876417,-0.35221515727356145,-0.19522451973879967,0.716595640702953,0.0006054998126104285,-0.0012782773821775712,0.0006727775695671429,-0.7289999999999999,-0.40499999999999997,9.533999999999999,4.239887683968092,2.521014298575622,10.198648753328653,0.5831353349127522,0.565192709223129,1.507180557928344,-0.018946052631578933,-0.010647368421052628,1.299135526315789,0.004913200138504152,0.0033097905124653717,0.08892303843490298
8.1,-0.79,-1.73,17.05,-3.437746770784939,-16.04281826366305,9.167324722093172,93.0,-41.0,92.0,17.155742478831982,18.794413086373932,-0.04576479839574236,-0.1002191154742206,0.9877086236043129,-0.00040366654174028567,-0.0018837771947879999,0.0010764441113074285,-0.7345454545454544,-0.5254545454545454,10.217272727272727,3.54192091535418,0.8333931565539245,10.104892023216337,0.6638771505160563,0.39473776517170917,1.5968936863764596,-0.1141460526315789,-0.0634144736842105,1.4928236842105258,0.004616544840720219,0.003143075138504153,0.10926476575484757
8.11,-0.78,2.9,9.88,9.740282517223996,-18.90760723931717,6.875493541569878,93.0,-41.0,92.0,10.326315896775577,22.352698415891258,-0.045185497150226635,0.16799736119956055,0.5723496305695374,0.0011437218682641428,-0.002220165979571571,0.0008073330834805713,-0.7383333333333332,-0.23999999999999996,10.189166666666665,4.058451048843332,-0.8116902097686666,9.835775483079132,0.610049273447187,0.14354100551698518,1.7404346918934448,-0.12651578947368416,-0.09050263157894733,1.7597907894736835,0.002829257963988919,0.0021501379847645415,0.13263924186288079
8.13,-0.78,2.9,9.88,9.740282517223996,-18.90760723931717,6.875493541569878,93.0,-41.0,92.0,10.326315896775577,22.352698415891258,-0.045185497150226635,0.16799736119956055,0.5723496305695374,0.0011437218682641428,-0.002220165979571571,0.0008073330834805713,-0.7415384615384613,0.001538461538461574,10.165384615384614,4.495515007949536,-2.203683827426244,9.608061487578421,0.7625615918089836,-0.15251231836179674,1.8480904460311836,-0.138728947368421,-0.04509473684210525,1.9144907894736836,0.0008482870498614965,0.0007330573060941824,0.16019386080332398
8.14,6.08,2.23,12.64,4.583662361046586,-22.345354010102106,10.886198107485642,93.0,-41.0,92.0,14.202425849128733,25.275167966054852,0.35221515727356145,0.1291841777500069,0.7322367743318777,0.0005382220556537143,-0.002623832521311857,0.0012782773821775712,-0.25428571428571406,0.16071428571428575,10.342142857142855,4.501811247456469,-3.642374554760234,9.699356960428938,0.9150739101707803,-0.44856564224057865,1.9557462001689223,-0.15094210526315785,0.00031315789473683464,2.0691907894736836,-0.0013239162049861475,2.6968663434903087e-05,0.19017075605955666
8.15,6.08,2.23,12.64,4.583662361046586,-22.345354010102106,10.886198107485642,93.0,-41.0,92.0,14.202425849128733,25.275167966054852,0.35221515727356145,0.1291841777500069,0.7322367743318777,0.0005382220556537143,-0.002623832521311857,0.0012782773821775712,0.1680000000000002,0.2986666666666667,10.49533333333333,4.507267988362476,-4.889239851783026,9.778479703566052,0.9868444129292729,-0.7984468431882299,2.1262011442203423,-0.055742105263157884,0.035230263157894716,2.267106578947368,-0.003687351800554013,3.187205678670352e-05,0.2225699276315788
8.16,0.94,-0.07,11.17,10.886198107485642,-26.92901637114869,12.605071492878112,93.0,-41.0,92.0,11.209701155695454,31.66337094015081,0.05445431707847825,-0.004055108718610083,0.647079491241066,0.0012782773821775712,-0.003162054576965571,0.0014801106530477142,0.2162500000000002,0.275625,10.537499999999996,4.905951120807674,-6.26672588424338,9.955141690398056,1.0586149156877656,-1.1483280441358812,2.2966560882717624,0.03945789473684208,0.0701473684210526,2.465022368421052,-0.004560155817174511,0.0005835038088642654,0.2580680438019389
8.18,2.25,-0.86,12.18,15.469860468532227,-25.783100780887047,13.750987083139757,93.0,-41.0,92.0,12.4158970678723,33.06318972140938,0.13034278024103835,-0.04981990711435244,0.7055889170381543,0.0018164994378312856,-0.0030274990630521424,0.0016146661669611427,0.33588235294117663,0.2088235294117647,10.63411764705882,5.527357553026766,-7.414747936987125,10.17842671350051,1.2290698597391854,-1.569979747842025,2.494024970857617,0.054176315789473656,0.06905131578947366,2.6399210526315784,-0.003942328254847641,0.0016818639196675886,0.2966651045706369
8.19,2.25,-0.86,12.18,15.469860468532227,-25.783100780887047,13.750987083139757,93.0,-41.0,92.0,12.4158970678723,33.06318972140938,0.13034278024103835,-0.04981990711435244,0.7055889170381543,0.0018164994378312856,-0.0030274990630521424,0.0016146661669611427,0.44222222222222235,0.14944444444444446,10.719999999999997,6.079718826110403,-8.435211983870454,10.376902289591579,1.4712953065490977,-1.9736888258585457,2.7093364791330945,0.08940657894736838,0.055585526315789446,2.8306342105263154,-0.003094041204986146,0.0027630621537396097,0.33800071052631553
8.2,0.9,3.18,6.6,13.178029288008934,-8.021409131831525,15.469860468532227,96.0,-50.0,89.0,7.3812194114522836,21.847655327098778,0.05213711209641535,0.18421779607400088,0.38233882204037917,0.0015473884100044284,-0.0009418885973939999,0.0018164994378312856,0.46631578947368435,0.3089473684210527,10.50315789473684,6.453314113578746,-8.413432886394721,10.64495272006214,1.7135207533590102,-2.3773979038750666,2.924647987408572,0.1246368421052631,0.04211973684210524,3.0213473684210523,-0.0016941224030470891,0.0036334144736842075,0.38232248303324073
8.21,1.96,2.56,9.63,1.7188733853924696,22.91831180523293,18.90760723931717,96.0,-50.0,89.0,10.15539757961253,29.760731732152834,0.1135430441210823,0.14830111885202588,0.5578670994316443,0.00020183327087014283,0.0026911102782685714,0.002220165979571571,0.5410000000000001,0.4215000000000001,10.459499999999997,6.216592077169432,-6.846845651813339,11.058085446024892,1.9198609487896763,-2.5029962837024287,3.1668734342184846,0.13872894736842098,0.09191184210526313,3.12468947368421,0.0002574281509695297,0.004292920879501381,0.42963042209141244
8.23,1.96,2.56,9.63,1.7188733853924696,22.91831180523293,18.90760723931717,96.0,-50.0,89.0,10.15539757961253,29.760731732152834,0.1135430441210823,0.14830111885202588,0.5578670994316443,0.00020183327087014283,0.0026911102782685714,0.002220165979571571,0.6050000000000001,0.5594999999999999,10.249500000000001,6.21659207716943,-6.273887856682515,11.258620674320682,1.946774887324111,-2.1441437699099657,3.4629267580972662,0.1694184210526315,0.1319960526315789,3.2754749999999997,0.002429631405817173,0.005732066828254842,0.4785564809556784
8.24,-2.86,-3.82,4.3,13.750987083139757,69.90085100596043,14.32394487827058,96.0,-50.0,89.0,6.423550420133713,72.66631966732518,-0.16568015621749763,-0.22129307578700733,0.24909953557176218,0.0016146661669611427,0.008207886348719141,0.001681943923917857,0.4280000000000001,0.3785,9.773,6.818197762056796,-3.351803101515317,11.229972784564142,1.9736888258585459,-1.7852912561175027,3.7589800819760484,0.200107894736842,0.17208026315789468,3.4262605263157893,0.005082367209141271,0.007798847126038774,0.5298435237188363
8.25,-2.86,-3.82,4.3,13.750987083139757,69.90085100596043,14.32394487827058,96.0,-50.0,89.0,6.423550420133713,72.66631966732518,-0.16568015621749763,-0.22129307578700733,0.24909953557176218,0.0016146661669611427,0.008207886348719141,0.001681943923917857,0.4405000000000003,0.0885,9.638,7.391155557187621,-0.28647889756541384,11.258620674320683,2.1890003341340236,-0.6907910890504911,3.9832629030963376,0.15532631578947362,0.11226710526315786,3.49358947368421,0.008215635560941823,0.010493261772853178,0.5834915503808861
8.26,0.98,-18.94,9.47,14.32394487827058,112.87268564077219,0.5729577951308232,96.0,-50.0,89.0,21.198228699587144,113.7793779261924,0.05677152206054115,-1.0971965590067851,0.5485982795033926,0.001681943923917857,0.013253718120472713,6.727775695671428e-05,0.3794999999999999,-0.8670000000000003,9.702000000000002,7.906817572805362,5.070676486907782,10.742958658702943,2.404311842409501,0.40370907801652045,4.207545724216627,0.11054473684210522,0.052453947368421044,3.560918421052631,0.010647718663434896,0.012251128289473674,0.6381938066135731
8.28,7.59,-24.15,12.96,30.939720937064454,80.78704911344607,-30.939720937064454,96.0,-50.0,89.0,28.439272142584805,91.8753501641501,0.43968964534643606,-1.3990125079204783,0.750774414188381,0.0036329988756625712,0.009486163730896712,-0.0036329988756625712,0.6490000000000002,-2.0829999999999997,9.940500000000002,9.253268391362793,8.823550045014676,8.651662706475435,2.6285946635297903,2.1710577084444003,4.216517037061438,0.1258894736842105,-0.24410657894736834,3.709198684210526,0.01237861651662049,0.013072446675900266,0.6939502924168971
8.29,7.59,-24.15,12.96,30.939720937064454,80.78704911344607,-30.939720937064454,96.0,-50.0,89.0,28.439272142584805,91.8753501641501,0.43968964534643606,-1.3990125079204783,0.750774414188381,0.0036329988756625712,0.009486163730896712,-0.0036329988756625712,0.8495000000000005,-3.354999999999998,10.248500000000002,10.685662879189852,12.662367272391197,6.589014644004467,3.113045557149615,3.4360128195628317,3.732066143441613,0.244732894736842,-0.622244736842105,3.9121249999999996,0.01434978064404431,0.009250251558171737,0.7520285349722987
8.3,1.79,-24.3,13.23,92.81916281119337,50.42028597151245,-58.44169510334397,96.0,-50.0,89.0,27.725926494889222,120.71882185049742,0.10369492294731496,-1.4077020266032143,0.7664155478173056,0.010898996626987715,0.005920442612190857,-0.006862331209584857,0.9730000000000001,-4.556999999999998,10.591,14.925550563157946,15.18338157096682,3.2945073220022336,3.59749645076944,4.700967930681263,3.247615249821788,0.3635763157894735,-1.0003828947368416,4.115051315789473,0.018181782548476442,-0.0004927910318559565,0.8132841764196671
8.31,1.79,-24.3,13.23,92.81916281119337,50.42028597151245,-58.44169510334397,96.0,-50.0,89.0,27.725926494889222,120.71882185049742,0.10369492294731496,-1.4077020266032143,0.7664155478173056,0.010898996626987715,0.005920442612190857,-0.006862331209584857,1.0965,-5.758999999999999,10.933499999999999,19.165438247126033,17.70439586954245,2.842170943040401e-15,5.050849131628914,5.4904434610246815,2.3325413396510077,0.39160394736842086,-1.3808697368421046,4.322205263157894,0.023874622229916882,-0.016156681094182813,0.8777172167590023
8.33,-0.63,-11.69,16.94,186.21128341751756,-31.512678732195283,-64.74423084978302,96.0,-50.0,89.0,20.59166336166168,199.64845709698736,-0.03649597846749074,-0.6772031560078837,0.98133630990364,0.02186527101093214,-0.0037002766326192857,-0.007602386536108713,1.3690000000000002,-6.174999999999998,11.161999999999997,28.218171410193044,16.67307183830696,-3.5236904400545606,6.504201812488389,6.2799189913681,1.4174674294802276,0.41963157894736824,-1.7613565789473675,4.529359210526315,0.030006315616343468,-0.037778194078947336,0.9453938518005535
8.34,-4.93,8.19,10.28,339.7639725125781,19.48056503444799,-43.54479242994257,83.0,-16.0,92.0,14.037784725518481,343.096485524635,-0.28559551403925293,0.4744477200773796,0.5955216803901663,0.039895709875331566,0.0022874437365282855,-0.005113109528710285,1.4265,-5.596999999999998,11.0575,44.94853902801309,18.191409995403646,-5.987408959117098,9.419878487052149,5.786496784903464,0.40370907801652023,0.40976710526315774,-1.9443973684210516,4.7946039473684205,0.0365768627077562,-0.06535732998614953,1.0163140815443208
8.35,-4.93,8.19,10.28,339.7639725125781,19.48056503444799,-43.54479242994257,83.0,-16.0,92.0,14.037784725518481,343.096485524635,-0.28559551403925293,0.4744477200773796,0.5955216803901663,0.039895709875331566,0.0022874437365282855,-0.005113109528710285,1.2194999999999996,-5.100999999999997,10.719,62.10862499218124,19.967579160309203,-8.623014816718888,14.73986700402541,6.091521421627057,-0.27811069818915923,0.3325736842105262,-1.816159210526315,4.955567105263158,0.04299295290858722,-0.09580249930747914,1.091387485457063
8.36,-7.51,21.68,5.78,437.16679768481816,-9.740282517223996,-1.7188733853924696,83.0,-16.0,92.0,23.660745973024603,437.27867158967297,-0.4350552353823102,1.255925100278094,0.33483611990808965,0.051332928557972994,-0.0011437218682641428,-0.00020183327087014283,0.883,-4.161999999999997,10.514,83.47995075056096,20.42594539641386,-9.052733163067007,20.05985552099867,6.39654605835065,-0.9599304743948387,0.25538026315789464,-1.6879210526315782,5.116530263157895,0.048200356648199404,-0.12423972905124643,1.1689812335526308
8.37,-3.39,17.01,1.5,483.5763790904148,-129.48846169956605,-0.5729577951308232,83.0,-16.0,92.0,17.409256158722005,500.6133282366257,-0.19638312222983112,0.9853914186222501,0.0868951868273589,0.05678242687146685,-0.015204773072217426,-6.727775695671428e-05,0.7525000000000001,-3.4564999999999984,10.094999999999999,107.17175557922045,14.896902673401405,-9.42515572990204,26.9049672215899,6.244033739988853,-0.9868444129292734,0.13778947368421046,-1.3484578947368415,5.207032894736842,0.05219907392659275,-0.1506690192174514,1.2490953258310242
8.39,-3.39,17.01,1.5,483.5763790904148,-129.48846169956605,-0.5729577951308232,83.0,-16.0,92.0,17.409256158722005,500.6133282366257,-0.19638312222983112,0.9853914186222501,0.0868951868273589,0.05678242687146685,-0.015204773072217426,-6.727775695671428e-05,0.2790000000000002,-2.7174999999999994,9.538,131.1213914156889,9.539747288928202,-9.998113525032863,34.476755262610865,4.216517037061438,-0.995815725774085,0.08470921052631575,-1.0821171052631573,5.230519736842105,0.054356567001385,-0.17178303099030456,1.3306264987880878
8.4,6.04,8.58,36.06,294.5003066972431,-42.398876839680916,22.345354010102106,83.0,-16.0,92.0,37.55558014463364,298.3746139467523,0.3498979522914985,0.49704046865249296,2.088960291329708,0.03458076707575114,-0.004978554014796856,0.002623832521311857,0.27699999999999997,-2.3999999999999995,10.709000000000001,145.6172236324987,8.537071147449264,-9.425155729902041,42.04854330363183,2.189000334134023,-1.0047870386188966,0.03162894736842103,-0.8157763157894731,5.254006578947368,0.05568293490304704,-0.18872670671745137,1.4125254262465365
8.41,6.04,8.58,36.06,294.5003066972431,-42.398876839680916,22.345354010102106,83.0,-16.0,92.0,37.55558014463364,298.3746139467523,0.3498979522914985,0.49704046865249296,2.088960291329708,0.03458076707575114,-0.004978554014796856,0.002623832521311857,0.532,-1.967499999999999,11.953500000000002,159.7979290619866,7.763578124022651,-8.938141604040839,46.65979810586498,1.5251231836179668,-0.6549058376712453,0.12620263157894732,-0.6814315789473678,5.818630263157894,0.056178177631578896,-0.2015000463988918,1.4947921082063702
8.42,-0.18,7.81,14.17,178.76283208081685,40.680003454288446,40.680003454288446,83.0,-16.0,92.0,16.18077254027137,187.7921071175148,-0.010427422419283069,0.45243427274778203,0.8208698648957838,0.020990660170494856,0.0047767207439267136,0.0047767207439267136,0.41050000000000003,-1.5339999999999985,12.053,167.96257764260082,11.086733335781426,-7.591690785483406,51.27105290809813,0.8612460331019106,-0.30502463672359403,0.2207763157894736,-0.5470868421052626,6.38325394736842,0.05815424515235452,-0.2121698303324098,1.5858996083795003
